document_id,clean_text,sentiment
0,i am not a big fan of the many  many marvel films  the only reason i saw this one was that my oldest daughter insisted i watch it    and overall i was impressed by the movie  though i think it was enjoyable more for the insane eye candy than the story itself i could talk about the plot but just noticed that there are over 2000 reviews for this film  so  i'll just say that it looked great and would have been great to have seen it on the big screen  the story itself  though enjoyable  wasn't one that particularly grabbed me or impacted on me   possibly because it was so violent and frenetic that the film  as a consequence  lacked intimacy and humanity ,Positive
1,shaun (simu liu) and katy (awkwafina) are slackers in san francisco  well  they're chinese slackers which means that they still have jobs  they're just dead end jobs  unbeknownst to katy  shaun's real name is shang chi and he was trained from childhood to fight by his father xu wenwu (tony chiu wai leung) who has been conquering for a thousand years with the ten rings until he met the love of his life  shang chi's mother this is mcu doing an asian hero and it's actually pretty funny  awkwafina does her comedic thing  simu liu does a good every man performance but he's also a good straight man to awkwafina  i like the pairing although they may be better as friends  then the movie surprises with a comedic turn from ben kingsley  i love that part which gave the movie a comedic jolt  i wouldn't mind him popping up in other mcu stuff  the dragon fight is a little blah but those climatic battles are getting standardized anyways  this is a fine addition to the mcu and these are fun characters to add to the gang ,Positive
2,it was an okay movie  simu liu is the son of the seemingly immortal master of the ten rings   always good to see tony leung  and i hope he soaked disney   who winds up opposing his dad  and awkwafina is his slacker sort of girlfriend  they are fine in the leads  as is meng'er zhang as his sister  and michelle yeoh as their aunt    always good to see her  and i hope she soaked disney too i have grown increasingly fond of martial arts films over the last couple of decades  and the decline of the movie musical is the reason why  they don't make movies like that any more  and when they try  they're often embarrassing  people don't like the unreality of people bursting out into song  or expressing their emotions through dance  no  they prefer the solid commonplace of people floating through space to kick each other in the head  to me  the fight choreography is its own dance  and the fight between leung and fala chen when they meet and before they fall in love is a challenge dance as graceful as any between astaire and rogers there are problems aplenty with this film  there's an immense amount of exposition  starting off with twenty minutes of it in chinese  i'm not sure why ben kingsley as the fake 'mandarin' from iron man 3 is present except for a certain remnant of star power and connecting this to the rest of the mcu  still  with my expectations not set particularly high  i had a good time ,Positive
3,"shaun (simu liu) and katy (awkwafina) are parking valets underachievers in san francisco  katy refers to herself as ""the asian jeff gordon "" after a fight on a bus where shaun reveals himself as a martial arts fighter  the two of them travel to china so he can reunite with his sister (meng'er zhang) after six years  he was raised to be an assassin and to make a long story short  the opening sequence comes into play as they have to save the world marvel has done it again with graphics  special effects  characters  and the right blend of humor  i fell in love with katy who was our voice of reason and comedy  i was so afraid they were going to emma stone her to death  if you love what marvel has done in the past and are getting bored with them attempting to figure what to do after thanos  then this is must see ",Positive
4,i was not expecting that  i had visions of a film along the same lines as snake eyes  that was an out of date bagel  this was a four course banquet fast paced  energetic  and relentless  not particularly the genre i normally go to  or enjoy  but i loved every second of it  a visual masterpiece  superb acting  terrific musics  but it's produced in such a magical way  it is stunning i plan on seeing this again  just to understand a few bits a little more go and watch it  you'll love it  9/10 ,Positive
5,of course i am just riffing off  teasing and making fun of certain things with my summary line  though there is some truth in there too   especially if you consider the last third of the movie   quite fantastical  pun intended but there is so much more here  and while you may have seen the bus scene already (i imagine many times)  it still is quite the highlight and works wonders! because there is even more to it than the trailer/teaser revealed! as is with the plot and the characters of the movie i was able to watch it on an imax screen and let me tell you     wow! but also wow and much respect to marvel and feige and anyone involved that they dared to make the first ten minutes or so in chinese! and throwing a lot of chinese terms (slang?) in there as well   throughout! that gives it a touch of authenticity  how immigrants in america or anywhere else in the world grew up  i do the same with my greek and german/english it is also nice and while i am prone to be sarcastic  i really think it's a good thing to have such a major and big representation   especially nowadays with anti asian hate/crime rising  all because of people blaming china and people of china for a virus     the movie does not have that as a topic  it is entertainment after all  but in every promo and interview that the actors were involved it was something that was mentioned  good for them and good for us  that this was made i am a bit biased when it comes to the mcu and this did get a pure theatrical release  instead of the black widow treatment (which also was available on disney plus and the cinemas at the same time)  so there is not issue when it comes to that  and if you can watch it on the big screen   you will not be dissapointed! now waiting for the other stuff to drop     especially after the mid credit scene  that is such a tease     the after the credits scene might also hint at something  but the bigger tease was midway through the credits (actually almost at the beginning of them to be honest) sit back and enhoy the movie and the really funny characters     and quite a few familiar faces  some from the mcu and previous entries but also some from asian cinema! well done!,Positive
6,there seemed to be a lot of inconsistencies in the story line  and that brought the film's credibility down a notch for this viewer  for example  during the insane bus fight scene  wouldn't you say that the razor fist (florian munteanu) was trying to kill shaun (simu liu  before he was revealed as shang chi)? that's what it looked like to me  but later it turned out that he was a strong arm for shang chi's dad  xu wenwu (tony chiu wai leung)  wouldn't wenwu be just a little po'ed if the razor guy actually hurt his son?then there's the question of shang chi's martial arts ability  after dispatching how many dozen fighters on the bus and on the scaffold  he gets blown out by his sister xialing (meng'er zhang) at the golden daggers club  how? similarly  auntie nan (michelle yeoh) doesn't have much trouble showing him what's what with her more elegant  flowing martial arts style  it seemed like shang chi's ability got progressively worse as time went by  until the finale required him to rise to the occasion  and i can't for the life of me figure out why film makers can't make sure characters who use a bow and arrow get it right with the grip  when katy (awkwafina) takes up her archery practice  she squeezes the nock of the arrow between her fingertips  which is almost impossible with a high tension bow  the proper method calls for placing the nock between the index and middle finger on the bowstring  it allows for more accuracy  and you don't wind up with the arrow swinging up and down on the bow as you're trying to release it well  i guess that's enough ranting  the cgi special effects were quite astounding  i especially liked the colorful mythical creatures of ta lo  the martial arts sequences were exceptionally well choreographed as well  even though we know what's seen on screen is impossible in real life  the story itself was very much a rehash of hundreds of martial art film plots  which almost always seek vengeance for the death of a father  mother  mentor  master  take your pick  even with that  it's an entertaining picture to watch  as the ten rings concept is given time to play out here  and in the expected sequel as well  as for that  the very final after  after  after credits scene appears to position xu xialing as the replacement for her father wenwu at the head of the ten rings organization  we'll have to wait and see how shang chi manages to deal with that whole scenario ,Positive
7,"the marvel cinematic universe made a big impact with an almost all black cast in black panther  then this film came along and gave the world its first high profile asian superhero  and from the trailer i saw  it looked very exciting  basically  thousands of years ago  xu wenwu (tony leung) discovered ten mystical iron rings  granting its user immortality and other great powers  he establishes the ten rings organisation and throughout history conquers kingdoms and topples governments  in 1996  wanting to expand his power  wenwu goes in search for ta lo  a mystical heavenly realm inhabited by chinese mythological creatures  he travels through a magical forest to the ta lo village entrance but is stopped by guardian ying li (fala chen)  the two fall in love  but li leaves with wenwu when he is rejected by the villagers  wenwu abandons the ten rings  and they have two children  shang chi and xialing  when shang chi is seven years old (jayden zhang)  li is murdered by wenwu's enemies  the iron gang  wenwu once again wields the rings to massacre the iron gang  resumes leadership of his organisation  and has shang chi go through brutal training in martial arts  xialing from childhood (elodie fong) secretly copies this training  when shang chi is fourteen (arnold sun)  wenwu sends him to assassinate the leader of the iron gang  but shang chi is demoralised after fulfilling his mission and decides to run away to america  settling in san francisco and changing his name to ""shaun""  in the present day  shang chi (simu liu) works as a valet with his best friend katy (awkwafina)  who knows nothing about his past  they are attacked on a bus by the ten rings  led by high ranking agent razor fist (florian ""big nasty"" munteanu) who steal a pendant that shang chi was given by his mother  wenwu anonymously provides shang chi with the location of his sister and  fearing that the ten rings will go after xialing's matching pendant from their mother  shang chi decides to meet her  he reveals his past to katy  who insists on helping him  they find xialing (meng'er zhang) at an underground fight club in macau  which she founded after escaping from wenwu  the ten rings attack the fight club and wenwu arrives to capture shang chi  katy  xialing  and her pendant  they are taken to the ten rings' compound  where wenwu uses the pendants to reveal a magical map leading to ta lo  wenwu explains that he has heard li calling to him and believes she is alive and being held captive in ta lo behind a sealed gate  he plans to destroy the village unless they release her  when shang chi  xialing and katy object  wenwu imprisons them  also incarcerated is former actor trevor slattery (sir ben kingsley)  whom the ten rings imprisoned for impersonating wenwu  as the mandarin  and his hundun companion morris  who offers to guide them to ta lo  the group escapes and travel to ta lo  which exists in a separate dimension with various chinese mythological creatures  they meet ying nan (michelle yeoh)  li's sister  who explains the history of ta lo: thousands of years ago  the village was attacked by the soul consuming dweller in darkness and its minions but was saved by a chinese dragon called the great protector who helped seal the dark gate to the dweller's world  according to nan  the dweller in darkness has been influencing wenwu to believe li is still alive so that he will open the gate  shang chi  xialing  and katy join the villagers in training and preparing for wenwu's arrival  using outfits and weapons crafted from dragon scales  wenwu and the ten rings arrive and attack  wenwu overpowers shang chi and forces him into the nearby lake  then destroys the gate with the rings  some of dweller's minions escape  and the villagers join forces with the ten rings to fight them  shang chi is revived by the great protector  which leaves the lake to battle the minions  wenwu and shang chi fight once more  with shang chi gaining the upper hand  but he chooses to spare his father  the dweller in darkness escapes the weakened gate and attacks shang chi  wenwu saves his son  bequeathing him the rings before being killed by the dweller in darkness  the dweller in darkness is eventually killed by the combined efforts of shang chi  the great protector  xialing  and katy  following the battle  shang chi and katy return to san francisco where they are summoned by the sorcerer wong (benedict wong) to the sanctum sanctorum  in a mid credits scene  wong introduces shang chi and katy to bruce banner (mark ruffalo) and carol danvers (brie larson)  they discover that the ten rings are emitting a mysterious signal  in a post credits scene  xialing becomes the new leader of the ten rings after telling shang chi that she was going to disband the organisation  also starring ronny chieng as jon jon  tsai chin as waipo  yuen wah as master guang bo  jodi long as mrs  chen  dallas liu as ruihua  paul he as chancellor hui and tsai chin as katy's grandmother  with the voice of tim roth as abomination  liu is suited nicely as the lead hero  awkwafina is loveable as the hero's high spirited best friend  leung is interesting as the half hero half villain father  and there is good support from the likes of yeoh and kingsley  it is a simple story of a young man who must confront his past and use his mastery in weaponry based kung fu to save the world  the highlights are the fight on the speeding bus and the final epic battle featuring dragons and mythical monsters  i agree the excellent special effects may swamp a lot of what is going on  but a well written script  many fast paces sequences  moments of humour  and nods to past martial arts movies help to smooth things out  all together it is an entertaining superhero fantasy action  it was nominated the oscar for best visual effects  good!",Positive
8,"having seen the trailer for the 2021 marvel action movie ""shang chi and the legend of the ten rings"" i must admit that of course i was going to watch it  but i feared it would just be another run of the mill over the top cgi fest but barred of proper contents marvel movie  yet  i opted to sit down and watch it  on the notion that it was a marvel movie  but also because of the cast that starred in it and yeah  this movie was over the top in terms of cgi  of course it was  because it is a marvel movie after all  but luckily this movie broke the formula of the archetypical marvel movie and this actually turned out to be the best marvel movie so far  well  at least in my opinion  why? well  because of the storyline and the fact that it mixed asian culture and lore into the marvel cinematic universe  and it was a much needed addition to an otherwise western focused series of movies the storyline told in ""shang chi and the legend of the ten rings""  as written by dave callaham  destin daniel cretton and andrew lanham was certainly entertaining  and the movie didn't really have a dull moment  despite the fact that it was a movie that ran for 132 minutes  i thoroughly enjoyed the entire movie from beginning to end  and for me  this was a storyline with proper contents to it  that also included interesting characters and creatures visually then ""shang chi and the legend of the ten rings"" blew me away  the cgi team really worked their magic with this movie and brought it to life in a very visually fulfilling way  lots of nice details and jaw dropping special effects  and the creature designs in the movie were off the charts  i really enjoyed seeing those brought to life on the screen the character gallery in ""shang chi and the legend of the ten rings"" was interesting  and that applies for both the villain and good guy side and they had such a great cast ensemble put together for ""shang chi and the legend of the ten rings""  with the likes of asian cinema heavy weighters such as tony chiu wai leung  michelle yeoh and wah yuen  but the movie was also nicely carried by simu liu  whom i was not familiar with prior to this movie  and also having awkwafina in the movie was just brilliant  because she put on a spot on performance with her comedy sidekick character  and it was interesting and nice to see ben kingsley return to reprise his character of trevor slattery ""shang chi and the legend of the ten rings"" is a good combination of action and narrative storytelling  which made for a very wholesome movie  and it should be said that the action sequences were breathtaking to behold  so very  very nicely choreographed and executed on the screen  taking that traditional wuxia elements seen in asian movies and mixing it in with the archetypical marvel western based superhero movies i was more than genuinely entertained by ""shang chi and the legend of the ten rings"" and it is certainly a movie that bolsters marvel's hold for me  as their movies tend to be super flashy with spectacular effects  but rather hollow in terms of proper entertainment and storytelling my rating of ""shang chi and the legend of the ten rings"" lands on a well deserved nine out of ten stars  director destin denial cretton ensured that this 2021 movie takes the role of the single best marvel movie to date for me ",Positive
9,martial arts meets the mcu in shang chi and the legend of the ten rings  more crouching tiger than jackie chan  the plot for the film is kinda hum drum  the sort of mystical eastern fantasy cobblers that practically writes itself shang chi is the son of immortal  power hungry warlord xu wenwu (tony chiu wai leung) and li (fala chen)  a warrior woman from the hidden village of ta lo  after falling in love with li and becoming a father  wenwu gives up his wicked ways and packs away the ten legendary rings that gave him much of his power  however  after his wife is killed by his old enemies  wenwu once again wears the rings and trains his son to become an assassin  ashamed of what he has become  shang chi goes into hiding in america and becomes shaun (simu liu)  but his past eventually catches up with him when his father sends his army  the ten rings  to steal the pendants given to him and his sister xialing (meng'er zhang) by their mother  wenwu requires both pendants to reveal the way to ta lo  where he believes that his wife is being held captive by her people this marvel movie is at its most fun before the plot starts to get in the way and the cgi becomes too overbearing and intrusive: the early fight scenes   a battle on a runaway bus against a henchman known as razor fist  and a fight on some high rise bamboo scaffolding   deliver lots of impressively choreographed action that will please both martial arts fans and superhero addicts  awkwafina  as shang chi's loyal friend katy  provides some comic relief  but also gets stuck in with the action unfortunately  the film quickly goes downhill after the good guys make their way to ta lo  with a little help from tony slattery (see iron man 3) and a furry winged creature with no face  the inevitable battle between the villagers and wenwu's army is typical overblown marvel mayhem  but the massive cgi tsunami arrives when wenwu opens the inter dimensional gate that he thinks is holding li prisoner: instead of releasing his wife  he frees a swarm of flying tentacled soul suckers and their big bad boss the dweller  fortunately for the ta lo people  they have a massive magical dragon on their side  which wakes up and adds to the digital whizz bangery as technically impressive as the special effects are  i found the second half of the film visually overwhelming yet remarkably uninvolving   a whirlwind of pixels and noisy action without much substance 5/10  it was nice to see hk/chinese stars michelle yeoh  tony leung and yuen wah together in a marvel movie; i just wish it had been a better one ,Positive
